transaction_id,transaction_date,customer_id,department,product_sku,product_name,quantity,unit_price,discount_pct,total_cost,payment_method,sales_channel,register_id
106802,05/29/2023,54297,Toys,TY-304,"Board Game",1,28.49,0.05,27.07,"Credit Card",Online,REG-10
106949,22-Aug-2024,77873,Sports,SP-001,"Yoga Mat",2,22.99,,45.98,Check,Online,REG-8
106959,11-29-2024,17057,PHARMACY,PH-405,"Hand Sanitizer 8oz",2,3.39,0.15,5.76,EBT,Online,REG-17
107239,09-30-2022,29478,Grocery,GR-002,"White Bread",1,2.09,0.3,1.46,Cash,In-Store,REG-6
107432,2022-12-22,24560,Electronics,EL-505,"Wireless Charger",5,23.99,0.2,95.96,"Mobile Pay",In-Store,REG-1
107461,01/18/2024,64862,GROCERY,GR-010,"Eggs 12ct",1,3.49,,3.49,"Debit Card",In-Store,REG-10
107567,29-Jul-2022,84944,Beauty,BE-001,"Shampoo 16oz",5,6.99,,34.95,"Debit Card",In-Store,REG-7
107786,07-28-2023,68036,Automotive,AU-304,"Car Phone Mount",1,11.24,0.25,8.43,Cash,In-Store,REG-18
108023,06-21-2022,34612,Furniture,FU-405,"TV Stand",1,107.99,0.1,97.19,"Credit Card",In-Store,
108027,12/22/2024,97150,PHARMACY,PH-102,"Vitamin D 100ct",5,12.99,,64.95,"Credit Card",In-Store,REG-3
108286,16-Sep-2023,29249,Beauty,BE-304,"Lip Balm 3pk",5,4.24,0.15,18.02,"Debit Card","Curbside Pickup",REG-5
108304,02-15-2022,50153,Sports,SP-203,"Water Bottle 32oz",3,11.89,0.3,24.97,"Mobile Pay","Curbside Pickup",REG-19
108351,2024-01-12,67610,Clothing,CL-102,"Women's T-Shirt",2,9.74,0.25,14.61,"Debit Card",In-Store,REG-16
108680,04-23-2022,41537,Electronics,EL-303,"USB-C Hub",1,26.24,0.25,19.68,"Credit Card",In-Store,REG-10
108817,04-Sep-2023,98245,Toys,TY-506,"RC Car",1,31.99,0.2,25.59,"Debit Card",Online,REG-2
108830,2024-10-06,95476,Electronics,EL-303,"USB-C Hub",5,34.99,,174.95,"Debit Card",In-Store,REG-10
109127,2024-07-31,25217,Furniture,FU-001,"Folding Chair",1,26.24,0.25,19.68,Cash,In-Store,REG-19
109269,11/04/2024,36699,Automotive,AU-203,"Windshield Washer Fluid",1,3.74,0.25,2.8,"Gift Card",In-Store,REG-8
109525,02-29-2024,71899,Electronics,EL-303,"USB-C Hub",5,27.99,0.2,111.96,Cash,In-Store,REG-6
109596,06-Jun-2023,12461,AUTOMOTIVE,AU-405,"Jumper Cables",1,20.99,0.3,14.69,"Debit Card",Online,REG-9
109883,12/08/2024,54659,Toys,TY-506,"RC Car",4,33.99,0.15,115.57,"Mobile Pay",In-Store,REG-14
110228,05/02/2022,48942,Automotive,AU-203,"Windshield Washer Fluid",5,4.99,,24.95,"Credit Card",In-Store,REG-2
110444,2024-04-01,71400,Electronics,EL-201,"iPhone Case",1,19.99,,19.99,"Credit Card",In-Store,REG-7
110506,12/08/2023,35067,"Home & Garden",HG-001,"Potting Soil 20qt",1,8.99,,8.99,"Credit Card",In-Store,REG-17
110649,05-Jan-2024,87204,Electronics,TV-001,"4K Smart TV 55""",1,374.99,0.25,281.24,"Mobile Pay",In-Store,REG-10
110666,08/29/2023,,Automotive,AU-102,"Car Air Freshener",2,3.49,,6.98,Cash,In-Store,REG-2
110743,2022-12-06,16675,Beauty,BE-304,"Lip Balm 3pk",1,4.24,0.15,3.6,Cash,In-Store,REG-18
111256,04-08-2022,15018,Grocery,GR-004,"Bagged Salad Mix",1,3.79,,3.79,"Credit Card",In-Store,REG-18
111480,01-17-2022,,Clothing,CL-607,"Dress Socks 6pk",2,6.99,0.3,9.79,"Debit Card",In-Store,REG-6
111503,2024-01-14,66196,Pharmacy,PH-102,"Vitamin D 100ct",1,9.74,0.25,7.3,"Credit Card",In-Store,REG-5
111807,02/26/2022,,"Home & Garden",HG-304,"Picture Frame 8x10",2,6.79,0.15,11.54,Cash,In-Store,REG-13
111972,05-Apr-2024,67694,Beauty,BE-405,"Body Lotion 16oz",2,7.99,,15.98,"Credit Card",In-Store,REG-15
112088,06-26-2023,39411,Clothing,CL-203,"Kids Hoodie",3,16.09,0.3,33.79,Cash,In-Store,
112439,25-Oct-2022,51377,Beauty,BE-304,"Lip Balm 3pk",4,3.49,0.3,9.77,"Debit Card",Online,REG-19
112458,11-May-2023,15965,Toys,TY-506,"RC Car",4,39.99,,159.96,EBT,In-Store,REG-10
112714,07-02-2022,43443,Automotive,AU-001,"Motor Oil 5qt",1,24.99,,24.99,"Credit Card",In-Store,REG-19
112715,2024-10-13,44039,Beauty,BE-102,"Face Moisturizer",1,14.99,,14.99,Check,"Curbside Pickup",REG-16
112778,2024-09-08,34879,"Home & Garden",HG-405,"Storage Bins 3pk",2,13.59,0.2,21.74,"Gift Card",Online,REG-7
112940,07/10/2022,83339,Clothing,CL-506,"Yoga Pants",4,23.79,0.15,80.89,"Credit Card",In-Store,REG-16
113121,19-May-2024,86078,Electronics,EL-102,"Bluetooth Headphones",1,79.99,,79.99,"Credit Card",Online,REG-15
113173,2023-11-23,29832,Sports,SP-304,"Resistance Bands",2,9.74,0.25,14.61,"Debit Card",In-Store,REG-20
113177,03-07-2024,29893,Furniture,FU-203,"Desk Lamp",5,20.99,0.25,78.71,EBT,In-Store,REG-11
113499,05/18/2022,,Furniture,FU-203,"Desk Lamp",3,27.99,,83.97,"Credit Card","Curbside Pickup",
113522,07/31/2022,53050,Toys,TY-506,"RC Car",1,39.99,,39.99,"Gift Card",In-Store,REG-3
113765,06-03-2022,73916,"Home & Garden",HG-506,"Throw Pillow",1,14.99,0.25,11.24,"Debit Card",In-Store,REG-17
114210,2024-02-26,42550,Electronics,EL-102,"Bluetooth Headphones",1,79.99,,79.99,"Credit Card",In-Store,REG-11
114270,02/09/2024,,Grocery,GR-004,"Bagged Salad Mix",1,3.79,,3.79,Cash,In-Store,REG-5
114717,10/01/2022,82298,Clothing,CL-001,"Men's Jeans",4,33.24,0.05,126.31,"Gift Card","Curbside Pickup",REG-13
114743,12/01/2024,96886,Toys,TY-203,"Nerf Gun",2,23.74,0.05,45.11,"Credit Card",In-Store,REG-1
114834,2023-01-27,17772,"Home & Garden",HG-102,"Garden Hose 50ft",4,26.99,0.1,97.16,"Mobile Pay",In-Store,REG-19
114868,02-26-2024,93946,Electronics,EL-707,"Tablet 10""",1,329.99,,329.99,"Credit Card",In-Store,REG-18
114930,10/20/2022,42668,"Home & Garden",HG-405,"Storage Bins 3pk",1,16.99,,16.99,"Credit Card",Online,REG-8
115017,09-Apr-2022,31218,Electronics,EL-606,"Smart Speaker",5,85.49,0.05,406.08,Cash,In-Store,REG-9
115166,2022-09-06,31680,Furniture,FU-304,"Storage Ottoman",1,52.24,0.05,49.63,"Credit Card",Online,REG-12
115330,02-23-2022,74764,Furniture,FU-102,"Bookshelf 5-Tier",1,67.49,0.25,50.62,"Debit Card",In-Store,REG-8
115577,06-02-2022,33437,Sports,SP-506,"Foam Roller",1,15.99,0.2,12.79,"Debit Card",In-Store,REG-9
115659,04-14-2024,85378,"Home & Garden",HG-607,"Laundry Detergent",1,13.49,,13.49,Cash,In-Store,REG-19
115664,11-Dec-2024,18693,Electronics,EL-808,"Gaming Controller",1,59.99,,59.99,"Debit Card",In-Store,REG-4
115775,19-Aug-2024,65009,Furniture,FU-203,"Desk Lamp",2,27.99,,55.98,"Credit Card",In-Store,REG-16
116223,02-23-2022,59799,Sports,SP-203,"Water Bottle 32oz",2,16.99,,33.98,Cash,In-Store,REG-17
116229,03-29-2023,55816,Grocery,GR-009,"Frozen Pizza",1,6.79,0.15,5.77,"Credit Card",In-Store,REG-16
117389,07-20-2024,13384,Clothing,CL-506,"Yoga Pants",4,25.19,0.1,90.68,"Gift Card","Curbside Pickup",REG-15
117444,10-15-2024,61221,Automotive,AU-203,"Windshield Washer Fluid",3,4.99,,14.97,"Credit Card",Online,REG-14
117452,07/14/2022,73624,"Home & Garden",HG-607,"Laundry Detergent",3,9.44,0.3,19.82,"Credit Card",Online,REG-14
117463,2023-12-07,,"Home & Garden",HG-607,"Laundry Detergent",1,12.82,0.05,12.18,Check,In-Store,REG-17
117526,05/03/2022,72147,Furniture,FU-001,"Folding Chair",4,34.99,,139.96,"Debit Card",In-Store,REG-16
117538,2024-12-25,12246,Pharmacy,PH-001,"Ibuprofen 200ct",2,6.99,0.3,9.79,"Mobile Pay",In-Store,REG-8
117658,12-Feb-2023,62952,Automotive,AU-405,"Jumper Cables",3,29.99,,89.97,"Credit Card",In-Store,REG-7
117819,31-Jul-2024,78920,"Home & Garden",HG-102,"Garden Hose 50ft",4,25.49,0.15,86.67,"Mobile Pay",Online,REG-16
118025,05-Oct-2024,,Automotive,AU-405,"Jumper Cables",2,20.99,0.3,29.39,Cash,In-Store,REG-17
118632,01-Sep-2022,10022,Pharmacy,PH-304,"Bandage Assortment",3,4.49,0.25,10.1,"Debit Card",In-Store,REG-4
119232,02/10/2022,36778,Toys,TY-203,"Nerf Gun",2,19.99,0.2,31.98,"Mobile Pay",In-Store,REG-8
119393,23-Mar-2023,88352,Sports,SP-203,"Water Bottle 32oz",2,16.99,,33.98,"Debit Card","Curbside Pickup",REG-18
119460,11/15/2022,,Automotive,AU-304,"Car Phone Mount",5,12.74,0.15,54.14,"Credit Card",In-Store,REG-18
119629,2023-03-07,68002,TOYS,TY-506,"RC Car",1,37.99,,37.99,Cash,"Curbside Pickup",REG-19
119661,07-17-2024,95598,Toys,TY-304,"Board Game",1,28.49,0.05,27.07,"Debit Card",In-Store,REG-17
119746,12-May-2024,10979,Toys,TY-304,"Board Game",4,29.99,,119.96,"Debit Card",In-Store,REG-6
119771,06/02/2022,63538,"Home & Garden",HG-506,"Throw Pillow",2,15.99,0.2,25.58,"Debit Card","Curbside Pickup",REG-20
120121,02-Jul-2024,15194,Automotive,AU-203,"Windshield Washer Fluid",1,3.99,0.2,3.19,"Credit Card",In-Store,REG-11
120203,30-Jul-2022,11904,Clothing,CL-203,"Kids Hoodie",2,16.09,0.3,22.53,"Credit Card",In-Store,REG-15
120525,2024-08-13,60160,"Home & Garden",HG-001,"Potting Soil 20qt",2,7.19,0.2,11.5,"Debit Card",In-Store,REG-7
120937,2024-06-12,38872,Clothing,CL-102,"Women's T-Shirt",4,9.09,0.3,25.45,"Debit Card",In-Store,REG-17
121265,29-Jul-2023,35144,Clothing,CL-405,"Winter Jacket",2,89.99,,179.98,Check,"Curbside Pickup",REG-4
121283,2023-11-25,96636,Furniture,FU-304,"Storage Ottoman",4,54.99,,219.96,"Credit Card",In-Store,REG-9
121590,07-Mar-2022,40999,"Home & Garden",HG-405,"Storage Bins 3pk",2,13.59,0.2,21.74,"Credit Card",In-Store,REG-3
121734,07-07-2023,28564,Furniture,FU-304,"Storage Ottoman",3,38.49,0.3,80.83,"Credit Card",In-Store,REG-17
121883,08-05-2024,42950,BEAUTY,BE-405,"Body Lotion 16oz",1,7.19,0.1,6.47,"Mobile Pay",Online,REG-4
122118,03/22/2022,11112,Furniture,FU-203,"Desk Lamp",5,27.99,,139.95,Cash,In-Store,REG-4
122366,2024-04-03,42228,Electronics,EL-201,"iPhone Case",1,15.99,0.2,12.79,"Credit Card",Online,REG-4
122372,05-19-2024,31120,Automotive,AU-001,"Motor Oil 5qt",1,24.99,,24.99,"Credit Card",Online,REG-16
122716,14-Oct-2022,18919,Electronics,TV-001,"4K Smart TV 55""",5,499.99,,2499.95,"Debit Card",In-Store,REG-14
122755,03-31-2023,82569,Toys,TY-001,"LEGO City Set",4,47.49,0.05,180.46,EBT,"Curbside Pickup",REG-6
123237,04-14-2022,70938,Grocery,GR-004,"Bagged Salad Mix",1,3.41,0.1,3.07,"Gift Card",In-Store,REG-1
123304,07-26-2023,49396,Furniture,FU-405,"TV Stand",1,113.99,0.05,108.29,"Mobile Pay",In-Store,REG-14
123334,16-Sep-2024,25760,"Home & Garden",HG-001,"Potting Soil 20qt",3,6.74,0.25,15.16,Cash,In-Store,REG-20
123472,2023-03-16,30444,Beauty,BE-304,"Lip Balm 3pk",1,4.99,,4.99,EBT,In-Store,REG-2
123581,04/16/2024,66219,Automotive,AU-102,"Car Air Freshener",2,3.32,0.05,6.31,EBT,In-Store,REG-20
123730,2023-08-29,66221,Grocery,GR-009,"Frozen Pizza",1,7.59,0.05,7.21,Cash,Online,REG-4
123853,2022-08-16,81620,Toys,TY-001,"LEGO City Set",2,44.99,0.1,80.98,"Credit Card",Online,REG-3
124224,2023-10-01,54420,Sports,SP-405,"Jump Rope",1,6.29,0.3,4.4,"Debit Card",In-Store,REG-20
124276,2024-11-10,26034,"Home & Garden",HG-203,"Scented Candle",3,12.99,,38.97,"Credit Card",Online,REG-11
124444,11/25/2023,56088,Pharmacy,PH-102,"Vitamin D 100ct",4,9.74,0.25,29.22,"Credit Card",In-Store,REG-13
124595,13-Aug-2022,92538,Beauty,BE-304,"Lip Balm 3pk",1,4.74,0.05,4.5,"Debit Card",Online,REG-6
124648,25-Mar-2023,32634,Toys,TY-102,"Barbie Doll",2,14.99,,29.98,"Mobile Pay",In-Store,REG-7
124765,07-Jan-2024,69904,"Home & Garden",HG-607,"Laundry Detergent",1,13.49,,13.49,Cash,"Curbside Pickup",REG-9
124822,2023-07-30,79905,Grocery,GR-005,"Orange Juice 64oz",5,3.82,0.15,16.24,"Debit Card",In-Store,REG-15
125076,2024-10-01,32574,Electronics,EL-505,"Wireless Charger",1,29.99,,29.99,"Credit Card",In-Store,REG-8
125355,04-29-2023,53987,Grocery,GR-007,"Pasta 1lb",2,1.61,0.1,2.9,"Credit Card","Curbside Pickup",REG-18
126068,21-Feb-2024,85860,Furniture,FU-203,"Desk Lamp",2,22.39,,44.78,EBT,In-Store,REG-1
126104,2023-02-25,70493,"HOME & GARDEN",HG-304,"Picture Frame 8x10",3,7.99,,23.97,Cash,Online,REG-11
126166,26-Mar-2024,88894,Grocery,GR-010,"Eggs 12ct",1,2.97,0.15,2.52,EBT,In-Store,REG-2
126777,02-May-2024,38262,Automotive,AU-203,"Windshield Washer Fluid",5,4.74,0.05,22.52,"Debit Card",In-Store,REG-9
126858,08-25-2023,94489,Electronics,EL-707,"Tablet 10""",1,263.99,0.2,211.19,"Credit Card",In-Store,REG-18
126885,10/23/2023,13646,Toys,TY-405,"Play-Doh 10pk",1,11.39,0.05,10.82,"Debit Card",In-Store,REG-13
126953,07/20/2023,27825,Grocery,GR-009,"Frozen Pizza",5,7.19,0.1,32.36,"Credit Card",In-Store,REG-12
127267,09-Apr-2022,51349,Clothing,CL-405,"Winter Jacket",1,80.99,0.1,72.89,"Debit Card",In-Store,REG-17
127402,01-19-2024,19022,Sports,SP-203,"Water Bottle 32oz",4,14.44,0.15,49.1,Cash,In-Store,REG-10
127403,2024-05-28,29282,Sports,SP-405,"Jump Rope",3,8.54,0.05,24.34,Cash,In-Store,
128383,21-Apr-2022,12344,Pharmacy,PH-102,"Vitamin D 100ct",2,9.74,0.25,14.61,Cash,In-Store,REG-2
128570,2024-01-16,28765,Automotive,AU-102,"Car Air Freshener",1,3.49,,3.49,"Debit Card","Curbside Pickup",REG-18
128736,12-12-2024,36297,Furniture,FU-405,"TV Stand",1,119.99,,119.99,"Credit Card",In-Store,REG-3
128777,27-Apr-2022,60108,Beauty,BE-001,"Shampoo 16oz",5,6.99,,34.95,"Debit Card",In-Store,REG-11
128986,12-22-2022,54961,Electronics,EL-201,"iPhone Case",2,13.99,,27.98,"Debit Card",In-Store,REG-17
129049,05/04/2023,83377,Furniture,FU-102,"Bookshelf 5-Tier",1,89.99,,89.99,"Debit Card",Online,REG-11
129441,07-09-2024,58921,Electronics,EL-102,"Bluetooth Headphones",2,59.99,0.25,89.98,"Gift Card",In-Store,REG-5
129495,08/03/2024,18285,Furniture,FU-001,"Folding Chair",1,34.99,,34.99,"Credit Card",In-Store,REG-13
129576,10-14-2023,28625,Grocery,GR-003,"Chicken Breast 3lb",5,10.19,0.15,43.31,"Debit Card",In-Store,REG-6
129665,2023-02-17,23439,Toys,TY-203,"Nerf Gun",3,19.99,0.2,47.98,"Credit Card",In-Store,REG-18
129954,20-Nov-2024,94348,Grocery,GR-008,"Canned Tomatoes",1,0.97,0.25,0.73,"Credit Card",Online,REG-17
129965,12-09-2023,56027,Furniture,FU-203,"Desk Lamp",1,27.99,,27.99,"Debit Card",In-Store,REG-8
130092,16-Aug-2022,84193,Clothing,CL-607,"Dress Socks 6pk",1,9.99,,9.99,"Credit Card",In-Store,REG-8
130170,03-10-2023,72135,Beauty,BE-506,"Razor 4pk",2,11.39,0.05,21.64,"Credit Card",In-Store,REG-2
130184,26-May-2024,60940,"Home & Garden",HG-607,"Laundry Detergent",1,10.12,0.25,7.59,"Credit Card",In-Store,REG-12
130246,11-21-2024,73511,Clothing,CL-506,"Yoga Pants",4,19.59,0.3,54.85,EBT,Online,REG-6
130454,2023-06-14,,Grocery,GR-004,"Bagged Salad Mix",1,2.84,0.25,2.13,"Mobile Pay",Online,REG-9
130688,21-Mar-2023,84301,"Home & Garden",HG-304,"Picture Frame 8x10",5,7.99,,39.95,"Debit Card",In-Store,REG-8
130959,08/28/2022,,Clothing,CL-405,"Winter Jacket",1,76.49,0.15,65.02,"Credit Card",In-Store,REG-17
130971,01-Oct-2023,,Sports,SP-405,"Jump Rope",5,8.99,,44.95,"Mobile Pay",In-Store,REG-16
131544,19-Apr-2023,31891,Pharmacy,PH-001,"Ibuprofen 200ct",5,8.49,0.15,36.08,Cash,"Curbside Pickup",
131875,05-21-2024,81242,Toys,TY-304,"Board Game",1,29.99,,29.99,"Credit Card","Curbside Pickup",REG-9
132122,11-Nov-2023,33056,Sports,SP-304,"Resistance Bands",2,9.74,0.25,14.61,"Gift Card",In-Store,REG-9
132215,03/31/2022,64876,Beauty,BE-102,"Face Moisturizer",1,12.74,0.15,10.83,"Credit Card",In-Store,REG-8
132222,03/23/2024,84949,Clothing,CL-001,"Men's Jeans",2,34.99,,69.98,"Credit Card",In-Store,REG-9
132230,2023-08-21,59999,Grocery,GR-007,"Pasta 1lb",2,1.79,,3.58,EBT,Online,REG-16
132288,09/10/2024,81890,Automotive,AU-304,"Car Phone Mount",4,11.24,0.25,33.72,"Mobile Pay",In-Store,REG-12
132840,2024-02-28,54973,Pharmacy,PH-102,"Vitamin D 100ct",4,12.99,,51.96,"Credit Card",Online,REG-16
132946,07/29/2022,71087,Grocery,GR-009,"Frozen Pizza",1,6.39,,6.39,"Mobile Pay",Online,REG-8
133208,2023-09-08,25121,Clothing,CL-607,"Dress Socks 6pk",4,9.99,,39.96,"Credit Card",In-Store,REG-19
133290,10/23/2024,37052,Beauty,BE-304,"Lip Balm 3pk",4,4.74,0.05,18.01,"Mobile Pay",In-Store,
133372,14-Jul-2022,55041,Clothing,CL-708,"Baseball Cap",1,14.24,0.05,13.53,"Mobile Pay","Curbside Pickup",REG-14
134059,2022-12-20,32010,Automotive,AU-405,"Jumper Cables",3,29.99,,89.97,Cash,"Curbside Pickup",REG-13
134077,2022-07-28,30270,Sports,SP-405,"Jump Rope",1,8.99,,8.99,"Gift Card",Online,REG-6
134244,2022-04-09,22323,Automotive,AU-001,"Motor Oil 5qt",1,22.49,0.1,20.24,"Credit Card",In-Store,REG-16
134875,11/17/2022,14472,SPORTS,SP-001,"Yoga Mat",4,22.99,,91.96,"Debit Card",In-Store,REG-7
134956,2024-09-13,,Clothing,CL-506,"Yoga Pants",3,23.79,0.15,60.66,"Debit Card",In-Store,REG-19
135140,2024-02-13,64980,Clothing,CL-607,"Dress Socks 6pk",1,7.49,0.25,5.62,"Debit Card",Online,REG-15
135415,02-29-2024,42016,Clothing,CL-607,"Dress Socks 6pk",2,8.49,0.15,14.43,"Credit Card",In-Store,REG-7
135730,20-Aug-2024,19570,Toys,TY-405,"Play-Doh 10pk",1,11.99,,11.99,"Credit Card",In-Store,REG-12
135734,01-25-2022,66632,Electronics,TV-001,"4K Smart TV 55""",3,499.99,,1499.97,"Debit Card",In-Store,REG-10
135855,2024-08-13,86887,Electronics,TV-001,"4K Smart TV 55""",2,449.99,0.1,809.98,EBT,In-Store,REG-19
136332,07/28/2023,75390,"Home & Garden",HG-102,"Garden Hose 50ft",5,22.49,0.25,84.34,"Debit Card",In-Store,REG-12
136400,09-Oct-2024,51182,Electronics,EL-505,"Wireless Charger",4,29.99,,119.96,"Credit Card",In-Store,REG-14
136492,10-18-2024,50210,"Home & Garden",HG-001,"Potting Soil 20qt",2,8.99,,17.98,EBT,In-Store,REG-1
136680,26-Sep-2024,40060,Furniture,FU-304,"Storage Ottoman",1,43.99,0.2,35.19,"Debit Card","Curbside Pickup",REG-12
136704,23-Aug-2024,10603,Sports,SP-203,"Water Bottle 32oz",2,16.99,,33.98,"Debit Card",In-Store,REG-2
136766,12-13-2024,35646,Electronics,EL-707,"Tablet 10""",1,263.99,0.2,211.19,"Credit Card",In-Store,
136832,02/25/2022,18231,Toys,TY-405,"Play-Doh 10pk",3,8.99,0.25,20.23,"Debit Card",Online,REG-17
137008,2023-02-23,27785,Grocery,GR-001,"Organic Whole Milk 1gal",4,5.49,,21.96,Cash,In-Store,REG-13
137115,09-Sep-2024,81492,Grocery,GR-009,"Frozen Pizza",4,7.99,,31.96,EBT,In-Store,REG-11
137222,2023-06-13,15358,Pharmacy,PH-304,"Bandage Assortment",2,5.39,0.1,9.7,"Credit Card",In-Store,REG-2
137685,2022-10-15,90692,Clothing,CL-708,"Baseball Cap",4,10.49,0.3,29.37,EBT,Online,REG-5
137731,02-13-2023,58076,Electronics,EL-404,"Laptop Stand",2,37.49,0.25,56.24,"Debit Card",In-Store,REG-5
137883,26-Feb-2023,65150,Pharmacy,PH-001,"Ibuprofen 200ct",4,9.99,,39.96,"Credit Card",In-Store,REG-16
138042,12-16-2022,62235,Toys,TY-304,"Board Game",4,22.49,0.25,67.47,"Debit Card","Curbside Pickup",REG-13
138768,2023-02-09,19684,Sports,SP-405,"Jump Rope",4,8.54,0.05,32.45,"Mobile Pay",In-Store,REG-17
138926,06-27-2022,89269,Furniture,FU-405,"TV Stand",2,119.99,,239.98,Cash,Online,REG-10
139409,02-Jul-2022,16974,Automotive,AU-001,"Motor Oil 5qt",3,21.24,0.15,54.16,"Debit Card",In-Store,REG-9
139548,07-03-2022,40775,"Home & Garden",HG-607,"Laundry Detergent",1,13.49,,13.49,"Debit Card",In-Store,REG-20
139607,18-Dec-2024,96363,Furniture,FU-203,"Desk Lamp",5,22.39,0.2,89.56,"Credit Card",Online,REG-12
139619,19-Nov-2022,27763,Toys,TY-405,"Play-Doh 10pk",4,10.79,0.1,38.84,"Mobile Pay",Online,REG-1
139824,10-14-2023,62266,Beauty,BE-304,"Lip Balm 3pk",5,3.49,0.3,12.22,"Debit Card",In-Store,REG-10
139989,06/01/2023,69535,Grocery,GR-005,"Orange Juice 64oz",2,4.04,0.1,7.27,"Credit Card",Online,REG-18
140031,2023-12-16,42126,Sports,SP-102,"Dumbbells 20lb pair",1,38.24,0.15,32.5,Cash,In-Store,REG-9
140132,08-04-2024,53660,Electronics,EL-808,"Gaming Controller",4,44.99,0.25,134.97,"Debit Card",Online,REG-12
140380,12-11-2022,29356,Clothing,CL-708,"Baseball Cap",2,14.99,,29.98,"Mobile Pay",In-Store,REG-9
140675,12-12-2022,56842,Automotive,AU-102,"Car Air Freshener",2,2.79,0.2,4.46,Cash,In-Store,REG-13
140963,06-12-2023,80490,Beauty,BE-405,"Body Lotion 16oz",2,5.59,0.3,7.83,"Debit Card",In-Store,REG-17
141124,02-16-2022,91089,Electronics,EL-201,"iPhone Case",5,19.99,,99.95,"Credit Card",In-Store,REG-6
141319,04-Jan-2024,73001,Toys,TY-405,"Play-Doh 10pk",1,9.59,0.2,7.67,Cash,"Curbside Pickup",REG-4
