transaction_id,transaction_date,store_id,customer_id,employee_id,department,product_sku,product_name,quantity,unit_price,line_total,discount_pct,payment_method,sales_channel,is_return,register_id
TXN-209294,01/01/2023,ST-009,CUST-28995,EMP-6706,Electronics,TV-001,"4K Smart TV 55""",4,499.99,1999.96,,EBT,Online,N,REG-16
TXN-541508,08/07/2023,ST-004,CUST-36082,EMP-5354,Home & Garden,HG-001,Potting Soil 20qt,1,8.99,8.99,,Credit Card,Curbside Pickup,N,REG-5
TXN-317440,06/13/2024,ST-002,CUST-40662,EMP-6227,Sports,SP-203,Water Bottle 32oz,2,11.89,23.78,0.3,EBT,In-Store,N,REG-1
TXN-414075,11/10/2024,ST-012,CUST-24735,EMP-9773,Sports,SP-203,Water Bottle 32oz,1,15.29,15.29,0.1,Credit Card,In-Store,N,REG-10
TXN-643355,01-26-2022,st-002,CUST-92636,EMP-6924,Clothing,CL-102,Women's T-Shirt,1,12.34,12.34,0.05,Debit Card,In-Store,N,REG-8
TXN-443235,06-14-2024,ST-008,CUST-59286,EMP-8736,Toys,TY-304,Board Game,1,23.99,23.99,0.2,Gift Card,In-Store,N,REG-11
TXN-726295,15-Oct-2022,ST-001,CUST-51876,EMP-8196,Sports,SP-506,Foam Roller,1,13.99,13.99,0.3,Mobile Pay,In-Store,N,REG-4
TXN-527927,2024-03-25,ST-008,CUST-94165,EMP-3538,Grocery,GR-010,Eggs 12ct,4,3.49,13.96,,Debit Card,In-Store,N,REG-4
TXN-509600,06-Feb-2022,ST-009,CUST-87317,EMP-6720,Clothing,CL-102,Women's T-Shirt,1,12.34,12.34,0.05,Credit Card,In-Store,N,REG-17
TXN-369121,04-Jun-2022,ST-009,CUST-45805,EMP-6335,Beauty,BE-001,Shampoo 16oz,5,$5.24,26.2,0.25,EBT,Online,N,REG-13
TXN-995773,2023-11-23,ST-003,CUST-72310,EMP-3944,Automotive,AU-304,Car Phone Mount,1,10.49,10.49,0.3,Debit Card,In-Store,N,REG-8
TXN-591451,26-Jun-2022,ST-010,CUST-81175,EMP-5186,Sports,SP-304,Resistance Bands,3,11.69,-35.07,0.1,Credit Card,In-Store,Y,REG-7
TXN-659007,09-20-2024,ST-012,CUST-74957,EMP-9741,Automotive,AU-102,Car Air Freshener,5,3.49,17.45,,Mobile Pay,In-Store,N,REG-16
TXN-602218,2022-03-13,  ST-005,CUST-36498,EMP-5026,Beauty,BE-506,Razor 4pk,2,11.99,23.98,,Mobile Pay,In-Store,N,REG-17
TXN-486854,06-10-2023,ST-002,CUST-49314,,Clothing,CL-203,Kids Hoodie,2,20.69,41.38,0.1,Debit Card,In-Store,N,REG-9
TXN-391625,11/01/2022,ST-010,CUST-86935,EMP-2777,Clothing,CL-001,Men's Jeans,4,29.74,118.96,0.15,EBT,In-Store,N,REG-4
TXN-617550,03/18/2022,ST-006,CUST-69802,EMP-9776,Clothing,CL-001,Men's Jeans,1,33.24,33.24,0.05,Credit Card,Online,N,REG-2
TXN-305505,2023-12-30,ST-002,CUST-21528,EMP-6015,Clothing,CL-304,Running Shoes,3,51.99,155.97,0.2,Debit Card,Online,N,REG-11
TXN-589730,12-15-2023,ST-002,CUST-62421,EMP-5097,Pharmacy,PH-102,Vitamin D 100ct,3,9.09,27.27,0.3,Debit Card,In-Store,N,REG-9
TXN-276366,07-24-2022,ST-009,CUST-45487,EMP-1504,Electronics,EL-102,Bluetooth Headphones,1,$71.99,71.99,0.1,Gift Card,Curbside Pickup,N,REG-14
TXN-720390,12-Jan-2023,ST-012,CUST-37746,EMP-8337,Automotive,AU-304,Car Phone Mount,2,12.74,25.48,0.15,Credit Card,Online,N,REG-10
TXN-878543,28-Sep-2023,ST-011,CUST-29836,EMP-5951,Electronics,EL-606,Smart Speaker,2,62.99,125.98,0.3,Cash,Online,N,REG-6
  TXN-544007,06/26/2024,ST-002,CUST-69042,EMP-3592,Furniture,FU-001,Folding Chair,1,24.49,24.49,0.3,Credit Card,In-Store,N,REG-12
TXN-320247,10/04/2024,ST-005,CUST-55125,EMP-3029,Automotive,AU-405,Jumper Cables,1,29.99,29.99,,Credit Card,In-Store,N,
TXN-522477,02/03/2024,ST-010,CUST-98730,EMP-9637,BEAUTY,BE-102,Face Moisturizer,4,14.99,59.96,,Credit Card,In-Store,N,REG-1
TXN-960899,2024-03-02,ST-011,CUST-51842,,Sports,SP-304,Resistance Bands,4,11.04,44.16,,Debit Card,In-Store,N,REG-20
TXN-475841,01-20-2023,ST-003,CUST-41239,EMP-7598,Electronics,EL-505,Wireless Charger,2,29.99,59.98,,Gift Card,Online,N,REG-11
TXN-778665,14-Nov-2022,ST-011,CUST-72601,EMP-3093,Pharmacy,PH-102,Vitamin D 100ct,2,9.74,19.48,0.25,Debit Card,In-Store,N,REG-9
TXN-827007,04/29/2022,ST-006,CUST-29985,EMP-7358,Furniture,FU-203,Desk Lamp,4,23.79,95.16,0.15,Credit Card,In-Store,N,
TXN-421153,25-Jul-2022,ST-011,CUST-67541,EMP-8478,Sports,SP-203,Water Bottle 32oz,5,16.99,84.95,,Cash,In-Store,N,REG-17
TXN-201364,2023-09-15,ST-012,CUST-39895,EMP-9062,Automotive,AU-102,Car Air Freshener,4,3.49,13.96,,Debit Card,In-Store,N,REG-20
TXN-949500,03/10/2023,ST-002,CUST-42225,EMP-6671,Pharmacy,PH-102,Vitamin D 100ct,1,12.99,126.38,,Cash,In-Store,N,REG-2
TXN-899277,11/20/2024,ST-010,CUST-39609,EMP-9645,Pharmacy,PH-102,Vitamin D 100ct,1,11.04,11.04,0.15,Debit Card,In-Store,N,REG-2
TXN-626266,13-Jan-2024,ST-010,CUST-49811,EMP-4436,Beauty,BE-102,Face Moisturizer,1,14.99,14.99,,Credit Card,Curbside Pickup,N,REG-7
TXN-202948,22-Sep-2023,ST-011 ,,EMP-7587,Furniture,FU-405,TV Stand,5,101.99,509.95,0.15,Mobile Pay,Curbside Pickup,N,REG-17
TXN-379026,12-20-2024,ST-005,CUST-83206,EMP-8273,Automotive,AU-102,Car Air Freshener,1,2.44,2.44,0.3,Check,Online,N,REG-13
TXN-839792,11/16/2024,ST-005,CUST-13159,EMP-6133,Sports,SP-304,Resistance Bands,2,11.69,23.38,0.1,Credit Card,In-Store,N,REG-9
TXN-427100,12/07/2022,ST-008,CUST-34934,EMP-1680,Pharmacy,PH-001,Ibuprofen 200ct,2,8.49,16.98,0.15,Credit Card,In-Store,N,REG-17
TXN-321038,2024-12-20,ST-002,CUST-64742,EMP-2810,Grocery,GR-008,Canned Tomatoes,1,1.16,1.16,0.1,Credit Card,Online,N,
TXN-818162,04-Jul-2022,ST-010,CUST-82165,EMP-2774,Automotive,AU-001,  Motor Oil 5qt,2,19.99,39.98,0.2,Debit Card,Online,N,REG-7
  TXN-709483,29-Oct-2023,ST-004,CUST-94134,EMP-1836,Grocery,GR-005,Orange Juice 64oz,5,4.04,20.2,0.1,Cash,In-Store,N,REG-1
TXN-238746,30-Jan-2022,ST-006,CUST-48888,EMP-7084,Grocery,GR-003,Chicken Breast 3lb,1,11.99,11.99,,Credit Card,In-Store,N,REG-1
TXN-364073,17-Nov-2024,ST-005,CUST-82522,EMP-6085,Beauty,BE-203,Mascara,1,7.64,7.64,0.15,Credit Card,In-Store,N,REG-19
TXN-820801,08-15-2023,ST-009,CUST-12130,EMP-4145,Toys,TY-304,Board Game,1,28.49,28.49,0.05,Credit Card,Online,N,REG-4
TXN-154328,2023-02-27,ST-004,CUST-73630,EMP-8548,Pharmacy,PH-203,Allergy Relief 30ct,2,14.24,28.48,0.05,Cash,Online,N,REG-3
TXN-517480,22-Oct-2022,ST-010,CUST-34660,EMP-3714,  Home & Garden,HG-607,Laundry Detergent,2,10.12,20.24,0.25,Debit Card,Online,N,REG-8
TXN-981049,03-22-2024,ST-007 ,CUST-83158,,Furniture,FU-001,Folding Chair,1,33.24,33.24,0.05,Debit Card,In-Store,N,REG-11
TXN-838390,2024-10-05,ST-001,CUST-16490,EMP-6999,Pharmacy,PH-203,Allergy Relief 30ct,4,14.99,59.96,,Debit Card,In-Store,N,REG-9
TXN-674416,11/15/2024,ST-007,CUST-92913,EMP-4435,Grocery,GR-003,Chicken Breast 3lb,4,10.79,43.16,0.1,Mobile Pay,Online,N,REG-14
TXN-487205,11/17/2024,ST-005,CUST-27161,EMP-4010,Furniture,FU-001,Folding Chair,5,26.24,131.2,0.25,Debit Card,Online,N,REG-17
TXN-340569,18-Jul-2022,ST-012,CUST-24880,EMP-4497,Home & Garden,HG-607,Laundry Detergent,4,9.44,37.76,0.3,Credit Card,In-Store,N,REG-9
TXN-781290,05/19/2022,ST-001,CUST-77558,EMP-2686,  Electronics,EL-606,  Smart Speaker,1,71.99,71.99,0.2,Mobile Pay,In-Store,N,REG-10
TXN-960197,08-17-2023,ST-011,CUST-44083,EMP-3264,Automotive,AU-405,Jumper Cables,1,20.99,20.99,,Mobile Pay,Curbside Pickup,N,REG-18
TXN-860441,16-May-2022,ST-004,CUST-62743,EMP-6667,Electronics,EL-404,Laptop Stand,2,49.99,99.98,,Credit Card,Curbside Pickup,N,REG-4
TXN-423694,2023-10-16,st-011,CUST-22948,EMP-8287,Home & Garden,HG-102,Garden Hose 50ft,1,25.49,25.49,0.15,Cash,In-Store,N,REG-1
TXN-891916,2022-03-12,ST-003,,EMP-7289,  Beauty,BE-001,Shampoo 16oz,4,6.64,26.56,0.05,Credit Card,In-Store,N,REG-20
TXN-817040,30-Apr-2024,  ST-011,CUST-31455,EMP-3508,Clothing,CL-607,Dress Socks 6pk,2,8.49,-16.98,0.15,Cash,In-Store,Y,REG-19
TXN-275877,05/13/2022,ST-007,CUST-38789,EMP-9147,Sports,SP-506,Foam Roller,1,13.99,13.99,0.3,Credit Card,In-Store,N,REG-16
TXN-896602,23-Feb-2023,ST-011,,EMP-4253,Automotive,AU-203,Windshield Washer Fluid,1,4.99,4.99,,Debit Card,In-Store,N,REG-9
TXN-774920,08-27-2023,ST-002,CUST-25543,EMP-1627,Clothing,CL-506,Yoga Pants,2,19.59,39.18,0.3,Credit Card,In-Store,N,REG-1
  TXN-473577,10/10/2022,  ST-009,CUST-87928,EMP-4449,Pharmacy,PH-102,Vitamin D 100ct,2,12.99,25.98,,Cash,Online,N,REG-12
  TXN-394695,2024-10-04,ST-006,CUST-35076,EMP-4726,Furniture,FU-001,Folding Chair,3,31.49,94.47,0.1,Cash,Online,N,REG-18
TXN-758177,2022-06-27,ST-009,CUST-30893,EMP-8233,Grocery,GR-009,Frozen Pizza,2,7.99,15.98,,Credit Card,In-Store,N,REG-16
TXN-427115,11-Jan-2024,st-003,CUST-58038,EMP-3534,Furniture,FU-203,Desk Lamp,1,23.79,23.79,0.15,Debit Card,Online,N,REG-7
TXN-361161,08/28/2024,ST-001,CUST-38828,EMP-6589,Grocery,GR-007,Pasta 1lb,1,1.70,-1.7,0.05,Credit Card,Online,Y,REG-14
TXN-381928,10-Oct-2022,ST-008,,EMP-2460,Home & Garden,HG-203,Scented Candle,1,11.69,11.69,0.1,Check,Online,N,REG-6
TXN-699147,10/01/2022,ST-001,CUST-97417,EMP-2564,Toys,TY-203,Nerf Gun,3,19.99,59.97,0.2,Cash,In-Store,N,REG-19
TXN-315146,07/30/2023,ST-005 ,CUST-82929,EMP-6940,Clothing,CL-506,Yoga Pants,3,27.99,443.4,,Debit Card,In-Store,N,REG-20
TXN-483279,05-Apr-2022,ST-006,CUST-71830,EMP-5292,Automotive,AU-001,Motor Oil 5qt,1,23.74,23.74,0.05,Credit Card,Online,N,REG-16
TXN-901515,01-12-2024,ST-002,CUST-49184,EMP-8323,Automotive,AU-405,Jumper Cables,3,22.49,67.47,0.25,Credit Card,In-Store,N,REG-7
TXN-157398,01/25/2024,ST-008,CUST-16181,EMP-2519,Clothing,CL-506,Yoga Pants,2,27.99,55.98,,Gift Card,In-Store,N,REG-15
TXN-262672,12-11-2024,ST-001,CUST-31088,EMP-1255,Beauty,BE-405,Body Lotion 16oz,4,7.99,31.96,,Debit Card,In-Store,N,REG-3
  TXN-704608,08-18-2024,ST-004,CUST-22356,EMP-4051,Toys,TY-405,Play-Doh 10pk,3,11.99,35.97,,Credit Card,In-Store,N,REG-5
TXN-457953,26-Jun-2022,  ST-004,CUST-98742,EMP-4836,Automotive,AU-102,Car Air Freshener,1,3.49,3.49,,Credit Card,Online,N,REG-6
TXN-162528,03-May-2024,ST-010,CUST-26413,EMP-8092,Pharmacy,PH-304,Bandage Assortment,3,4.19,12.57,0.3,Credit Card,In-Store,N,REG-12
TXN-855053,11-24-2024,st-001,CUST-72402,EMP-9041,Toys,TY-405,Play-Doh 10pk,1,11.39,11.39,0.05,Credit Card,In-Store,N,REG-9
TXN-884838,2022-10-01,ST-008,CUST-70409,EMP-8502,Clothing,CL-203,Kids Hoodie,1,16.09,16.09,0.3,Credit Card,In-Store,N,REG-12
TXN-460987,11-Sep-2024,ST-006,CUST-59173,EMP-5380,Home & Garden,HG-405,Storage Bins 3pk,3,13.59,40.77,0.2,Credit Card,In-Store,N,REG-19
TXN-398357,12/28/2024,ST-012,CUST-28346,EMP-9514,Furniture,FU-405,TV Stand,1,113.99,113.99,0.05,Debit Card,Online,N,REG-12
TXN-393827,02/07/2024,ST-003,CUST-74430,EMP-5852,Toys,TY-304,Board Game,5,22.49,112.45,0.25,Credit Card,In-Store,N,REG-13
TXN-206029,02/23/2023,ST-003,CUST-82798,EMP-4806,Automotive,AU-405,Jumper Cables,2,26.99,53.98,0.1,Credit Card,Online,N,REG-12
TXN-904595,14-Sep-2024,ST-007,CUST-20000,EMP-9631,Pharmacy,PH-001,Ibuprofen 200ct,3,9.49,28.47,0.05,Cash,Online,N,REG-13
TXN-857133,2022-07-22,ST-011,CUST-84081,EMP-3709,Toys,TY-001,LEGO City Set,4,39.99,159.96,0.2,Cash,In-Store,N,REG-2
TXN-312841,04/24/2022,ST-012,CUST-80133,EMP-7606,Grocery,GR-007,Pasta 1lb,1,1.34,1.34,0.25,Credit Card,In-Store,N,REG-7
TXN-211577,06-14-2024,ST-012,CUST-77178,EMP-3751,Toys,TY-506,RC Car,1,39.99,39.99,,Cash,Curbside Pickup,N,REG-4
TXN-514727,06-May-2023,st-007,CUST-32219,EMP-5089,Furniture,FU-102,Bookshelf 5-Tier,4,89.99,359.96,,Cash,In-Store,N,REG-14
TXN-510661,05-02-2024,ST-003 ,CUST-13840,EMP-8548,Beauty,BE-506,Razor 4pk,1,8.99,8.99,0.25,Credit Card,In-Store,N,REG-14
TXN-955081,06-15-2022,ST-001,CUST-25816,EMP-7943,Home & Garden,HG-102,Garden Hose 50ft,1,22.49,22.49,0.25,Cash,In-Store,N,REG-4
TXN-567126,2023-04-04,ST-006,CUST-14082,EMP-8139,BEAUTY,BE-102,Face Moisturizer,1,14.99,14.99,,Debit Card,Curbside Pickup,N,REG-3
TXN-649746,2022-04-01,ST-006,CUST-34525,EMP-7539,Pharmacy,PH-304,Bandage Assortment,1,5.39,5.39,0.1,Credit Card,In-Store,N,REG-19
TXN-288856,03-03-2024,ST-012,CUST-32590,EMP-4208,Automotive,AU-304,Car Phone Mount,2,14.99,29.98,,Cash,In-Store,N,REG-6
TXN-147948,01-15-2024,ST-012,CUST-21336,EMP-8669,Furniture,FU-405,TV Stand,1,119.99,119.99,,Cash,Online,N,REG-7
TXN-424557,12-05-2024,ST-001,CUST-77094,EMP-7377,Grocery,GR-011,Butter 1lb,1,3.74,3.74,0.25,Gift Card,Curbside Pickup,N,REG-14
TXN-621048,2022-02-26,ST-007,CUST-59342,EMP-5162,Grocery,GR-006,Greek Yogurt 32oz,1,5.35,5.35,0.15,Debit Card,In-Store,N,REG-16
TXN-484612,02/17/2022,ST-006,CUST-50034,,Clothing,CL-708,Baseball Cap,4,13.49,53.96,0.1,Credit Card,In-Store,N,REG-5
  TXN-488399,06-30-2024,ST-002,CUST-65438,EMP-4621,ELECTRONICS,EL-201,iPhone Case,2,14.99,29.98,0.25,Debit Card,In-Store,N,REG-4
TXN-713566,2023-03-08,  ST-012,CUST-22277,EMP-5206,Sports,SP-001,Yoga Mat,1,22.99,22.99,,Cash,In-Store,N,REG-10
TXN-687732,10-19-2023,ST-004,CUST-35561,EMP-6466,Sports,SP-001,Yoga Mat,5,19.54,97.7,0.15,Credit Card,In-Store,N,REG-9
TXN-207917,26-Oct-2023,ST-004,CUST-99841,EMP-1839,Sports,SP-001,Yoga Mat,1,19.54,19.54,0.15,Credit Card,In-Store,N,REG-1
TXN-682032,02-04-2024,ST-011,CUST-61653,EMP-2394,Grocery,GR-005,Orange Juice 64oz,2,4.49,8.98,,Debit Card,In-Store,N,REG-2
TXN-932199,03/21/2022,ST-010,CUST-48198,EMP-3955,Pharmacy,PH-001,Ibuprofen 200ct,5,6.99,34.95,0.3,Credit Card,Online,N,REG-11
TXN-192565,03/28/2023,ST-012,CUST-37799,,Electronics,EL-505,Wireless Charger,5,29.99,149.95,,Debit Card,In-Store,N,REG-14
TXN-542151,2023-12-06,ST-006,CUST-65620,,Furniture,FU-102,Bookshelf 5-Tier,4,76.49,305.96,,Debit Card,Online,N,REG-5
TXN-363449,08/15/2024,ST-001,,EMP-6578,Home & Garden,HG-001,Potting Soil 20qt,1,8.99,8.99,,Credit Card,Online,N,REG-18
TXN-242749,04-Mar-2023,ST-001,CUST-26539,EMP-6300,Grocery,GR-010,Eggs 12ct,2,$3.49,6.98,,Credit Card,In-Store,N,REG-20
TXN-581197,15-Nov-2024,ST-007,CUST-71787,EMP-8037,Toys,TY-203,Nerf Gun,1,24.99,24.99,,Cash,In-Store,N,REG-19
TXN-525197,06/11/2022,ST-011,CUST-44807,EMP-4826,Home & Garden,HG-506,Throw Pillow,1,19.99,19.99,,Mobile Pay,Online,N,REG-3
TXN-964996,07-02-2023,ST-009,CUST-64432,,Home & Garden,HG-001,Potting Soil 20qt,1,6.29,6.29,0.3,Credit Card,In-Store,N,REG-12
TXN-632684,19-Jun-2024,ST-011,CUST-68026,EMP-2461,Toys,TY-405,Play-Doh 10pk,5,8.39,41.95,0.3,Credit Card,In-Store,N,REG-14
TXN-751942,05/15/2024,ST-009,CUST-95966,EMP-9943,Home & Garden,HG-607,Laundry Detergent,1,13.49,13.49,,Debit Card,Curbside Pickup,N,REG-17
TXN-612056,25-Nov-2023,  ST-008,CUST-40263,EMP-6867,Sports,SP-102,Dumbbells 20lb pair,1,42.74,42.74,0.05,Credit Card,Curbside Pickup,N,REG-6
TXN-482522,11/19/2022,ST-006,CUST-41277,EMP-5321,Home & Garden,HG-506,  Throw Pillow,5,15.99,79.95,0.2,Cash,In-Store,N,REG-6
TXN-429798,29-Oct-2023,ST-003,CUST-22510,EMP-1420,Automotive,AU-203,Windshield Washer Fluid,2,4.99,9.98,,Cash,In-Store,N,REG-18
TXN-938150,28-May-2022,ST-005,CUST-75901,EMP-1065,Toys,TY-405,Play-Doh 10pk,1,8.39,8.39,0.3,Credit Card,Curbside Pickup,N,REG-6
TXN-827045,2024-01-03,ST-006,CUST-57962,EMP-4656,Home & Garden,HG-304,Picture Frame 8x10,5,5.99,29.95,0.25,Mobile Pay,In-Store,N,REG-6
TXN-958416,02/26/2024,ST-001,CUST-67786,EMP-3865,Electronics,EL-201,iPhone Case,1,19.99,19.99,,Debit Card,In-Store,N,
TXN-154743,03/22/2022,ST-006,CUST-20845,EMP-8652,Beauty,BE-102,Face Moisturizer,2,14.24,28.48,0.05,Credit Card,Online,N,REG-7
TXN-830248,06/02/2024,ST-009,CUST-67567,EMP-3318,Electronics,EL-303,USB-C Hub,3,31.49,94.47,0.1,Debit Card,Online,N,REG-11
TXN-430623,2024-10-04,ST-010,CUST-46175,EMP-4318,Home & Garden,HG-203,Scented Candle,1,10.39,10.39,0.2,Credit Card,Curbside Pickup,N,REG-2
TXN-781944,07/06/2023,ST-011,CUST-36723,EMP-3226,Furniture,FU-203,Desk Lamp,1,25.19,25.19,0.1,EBT,In-Store,N,REG-3
TXN-505479,04/22/2022,ST-003,CUST-38789,EMP-6445,Sports,SP-001,Yoga Mat,5,$21.84,109.2,0.05,Credit Card,In-Store,N,REG-5
TXN-112940,07/10/2022,ST-009,CUST-83339,EMP-4977,Clothing,CL-506,Yoga Pants,4,23.79,95.16,0.15,Credit Card,In-Store,N,REG-16
TXN-682075,2024-01-17,ST-007,CUST-41203,EMP-3724,Toys,TY-102,Barbie Doll,3,11.99,35.97,0.2,Cash,In-Store,N,REG-2
TXN-584425,2024-05-22,ST-002,CUST-82003,,Toys,TY-506,RC Car,1,29.99,29.99,0.25,Debit Card,Online,N,REG-18
TXN-510061,05-Apr-2022,ST-010,CUST-26952,EMP-8466,Pharmacy,PH-304,  Bandage Assortment,2,5.69,11.38,0.05,Credit Card,In-Store,N,REG-14
TXN-631363,09-Jul-2023,ST-011,CUST-26401,EMP-1014,Furniture,FU-304,Storage Ottoman,5,41.24,206.2,0.25,Credit Card,In-Store,N,REG-2
TXN-686330,2022-12-30,ST-003,CUST-66011,EMP-1092,Furniture,FU-203,  Desk Lamp,1,23.79,23.79,0.15,Mobile Pay,In-Store,N,REG-1
TXN-372077,09/26/2023,ST-012,CUST-74378,EMP-9761,Pharmacy,PH-102,Vitamin D 100ct,4,9.74,-38.96,0.25,Debit Card,In-Store,Y,REG-13
TXN-204107,06/24/2024,ST-009,CUST-98795,EMP-3307,Electronics,EL-303,USB-C Hub,2,31.49,62.98,0.1,Mobile Pay,In-Store,N,REG-10
TXN-549741,08-29-2024,ST-005,CUST-15188,EMP-1555,Toys,TY-001,LEGO City Set,2,42.49,84.98,0.15,Debit Card,Online,N,REG-13
TXN-814200,2024-08-06,ST-006,CUST-98130,EMP-2906,Grocery,GR-008,Canned Tomatoes,1,1.10,1.1,0.15,Cash,Curbside Pickup,N,REG-15
TXN-143461,31-Oct-2022,ST-005,CUST-63246,EMP-3039,PHARMACY,PH-304,Bandage Assortment,1,5.09,5.09,0.15,Cash,In-Store,N,REG-3
TXN-946414,04-04-2024,ST-001,CUST-12144,EMP-5120,Automotive,AU-304,  Car Phone Mount,2,10.49,20.98,0.3,Credit Card,Online,N,REG-19
TXN-201738,04/26/2022,ST-005,CUST-87307,EMP-8242,Clothing,CL-102,Women's T-Shirt,5,9.74,48.7,0.25,Cash,In-Store,N,REG-10
TXN-858950,12/26/2022,ST-004,CUST-52956,EMP-9171,Pharmacy,PH-405,Hand Sanitizer 8oz,3,3.99,11.97,,Gift Card,In-Store,N,REG-17
TXN-604199,07/08/2023,ST-002,CUST-84554,EMP-1226,Beauty,BE-203,Mascara,1,8.09,50.32,0.1,EBT,In-Store,N,
TXN-596419,04-Jan-2024,ST-007,,EMP-5204,Clothing,CL-506,Yoga Pants,1,27.99,27.99,,Cash,Curbside Pickup,N,REG-6
TXN-958119,08-Oct-2024,ST-004,CUST-28023,EMP-6109,Toys,TY-102,Barbie Doll,1,13.49,13.49,0.1,Debit Card,Online,N,REG-9
TXN-857312,05-Aug-2022,ST-008,CUST-40397,EMP-4038,Automotive,AU-304,Car Phone Mount,5,11.24,56.2,0.25,Cash,In-Store,N,REG-1
